Title,Year,Rating,Link
The Lion King,1994,92%,https://www.rottentomatoes.com/m/the_lion_king
Gravity,2013,96%,https://www.rottentomatoes.com/m/gravity_2013
The Leopard,1963,98%,https://www.rottentomatoes.com/m/the_leopard_1963
Day for Night,1973,98%,https://www.rottentomatoes.com/m/day_for_night
Badlands,1973,97%,https://www.rottentomatoes.com/m/badlands
Touch of Evil,1958,97%,https://www.rottentomatoes.com/m/touch_of_evil
Yojimbo,1961,96%,https://www.rottentomatoes.com/m/yojimbo
A Streetcar Named Desire,1951,97%,https://www.rottentomatoes.com/m/1020333-streetcar_named_desire
Breathless,1959,95%,https://www.rottentomatoes.com/m/breathless
The Manchurian Candidate,1962,97%,https://www.rottentomatoes.com/m/1013227-manchurian_candidate
The French Connection,1971,97%,https://www.rottentomatoes.com/m/french_connection
The Bourne Ultimatum,2007,92%,https://www.rottentomatoes.com/m/bourne_ultimatum
My Fair Lady,1964,94%,https://www.rottentomatoes.com/m/my_fair_lady
It's a Wonderful Life,1946,94%,https://www.rottentomatoes.com/m/its_a_wonderful_life
Some Like It Hot,1959,95%,https://www.rottentomatoes.com/m/some_like_it_hot
The Fugitive,1993,96%,https://www.rottentomatoes.com/m/1046129-fugitive
Guardians of the Galaxy,2014,92%,https://www.rottentomatoes.com/m/guardians_of_the_galaxy
Airplane!,1980,97%,https://www.rottentomatoes.com/m/airplane
Groundhog Day,1993,94%,https://www.rottentomatoes.com/m/groundhog_day
This Is Spinal Tap,1984,96%,https://www.rottentomatoes.com/m/this_is_spinal_tap
Beauty and the Beast,1991,93%,https://www.rottentomatoes.com/m/beauty_and_the_beast_1991
The Taking of Pelham One Two Three,1974,98%,https://www.rottentomatoes.com/m/the_taking_of_pelham_one_two_three
City Lights,1931,95%,https://www.rottentomatoes.com/m/city_lights
Kiki's Delivery Service,1989,98%,https://www.rottentomatoes.com/m/kikis_delivery_service
City of God,2002,91%,https://www.rottentomatoes.com/m/city_of_god
Rosemary's Baby,1968,97%,https://www.rottentomatoes.com/m/rosemarys_baby
Call Me by Your Name,2017,95%,https://www.rottentomatoes.com/m/call_me_by_your_name
Aladdin,1992,95%,https://www.rottentomatoes.com/m/disneys_aladdin
The Man With a Movie Camera,1929,98%,https://www.rottentomatoes.com/m/man_with_a_movie_camera
The Lady Vanishes,1938,98%,https://www.rottentomatoes.com/m/1011813-lady_vanishes
The Umbrellas of Cherbourg,1964,97%,https://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964
Mission: Impossible Rogue Nation,2015,94%,https://www.rottentomatoes.com/m/mission_impossible_rogue_nation
Three Colors: Blue,1993,97%,https://www.rottentomatoes.com/m/three_colors_blue
Milk,2008,93%,https://www.rottentomatoes.com/m/milk
Traffic,2000,93%,https://www.rottentomatoes.com/m/1103281-traffic
Invasion of the Body Snatchers,1956,97%,https://www.rottentomatoes.com/m/1010678-invasion_of_the_body_snatchers
Thor: Ragnarok,2017,93%,https://www.rottentomatoes.com/m/thor_ragnarok_2017
The Odd Couple,1968,97%,https://www.rottentomatoes.com/m/1015380-odd_couple
Bride of Frankenstein,1935,98%,https://www.rottentomatoes.com/m/bride_of_frankenstein
What's Love Got to Do With It,1993,97%,https://www.rottentomatoes.com/m/whats_love_got_to_do_with_it
Star Wars: The Force Awakens,2015,93%,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens
Roman Holiday,1953,96%,https://www.rottentomatoes.com/m/roman_holiday
Amélie,2001,90%,https://www.rottentomatoes.com/m/amelie
To Be or Not to Be,1942,96%,https://www.rottentomatoes.com/m/to_be_or_not_to_be
All the President's Men,1976,94%,https://www.rottentomatoes.com/m/all_the_presidents_men
Throne of Blood,1957,96%,https://www.rottentomatoes.com/m/throne_of_blood
Taxi Driver,1976,89%,https://www.rottentomatoes.com/m/taxi_driver
The Big Sleep,1946,96%,https://www.rottentomatoes.com/m/1002352-big_sleep
Marvel's the Avengers,2012,91%,https://www.rottentomatoes.com/m/marvels_the_avengers
Secrets & Lies,1996,96%,https://www.rottentomatoes.com/m/secrets_and_lies
Dog Day Afternoon,1975,96%,https://www.rottentomatoes.com/m/dog_day_afternoon
Being There,1979,95%,https://www.rottentomatoes.com/m/being_there
Aguirre: The Wrath of God,1972,96%,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god
Arrival,2016,94%,https://www.rottentomatoes.com/m/arrival_2016
Wings of Desire,1987,95%,https://www.rottentomatoes.com/m/wings_of_desire
Raging Bull,1980,92%,https://www.rottentomatoes.com/m/raging_bull
Fruitvale Station,2013,94%,https://www.rottentomatoes.com/m/fruitvale_station
La Dolce Vita,1960,95%,https://www.rottentomatoes.com/m/la_dolce_vita
Beauty and the Beast,1946,96%,https://www.rottentomatoes.com/m/1001902-beauty_and_the_beast
The Killing,1956,96%,https://www.rottentomatoes.com/m/killing
The Rules of the Game,1939,97%,https://www.rottentomatoes.com/m/the_rules_of_the_game
Eyes Without a Face,1960,97%,https://www.rottentomatoes.com/m/eyes_without_a_face_1962
The Cabinet of Dr. Caligari,1919,96%,https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari
